"ARABIC,COMPUTER STUDIES,FRENCH. CODE: SS1006 | TRACK: LANGUAGES & LITERATURE",,,,,
KALOBEYEI SECONDARY SCHOOL,TURKANA,MIXED,BOARDING,C3,REGULAR
CHEPSAITA,UASIN GISHU,MIXED,DAY,C4,REGULAR
MWERONGUNDU SECONDARY SCHOOL,MERU,MIXED,DAY,C4,REGULAR
ST. ELIZABETH OKATEKOK,BUSIA,MIXED,DAY,C4,REGULAR
RANEN ADVENTIST  SECONDARY SCHOOL,MIGORI,MIXED,BOARDING,PR,REGULAR
RABWAO,MIGORI,MIXED,BOARDING,C3,REGULAR
SENCHURA,NAROK,MIXED,BOARDING,C3,REGULAR
EPANJA SECONDARY SCHOOL,KAKAMEGA,MIXED,DAY,C4,REGULAR
FR GULK URADI GIRLS,SIAYA,GIRLS,DAY,C4,REGULAR
MECHI MERU  CEB SECONDARY SCHOOL {BUNGOMA-BUNGOMA SOUTH},BUNGOMA,MIXED,DAY,C4,REGULAR
KATULANI SECONDARY SCHOOL,MAKUENI,MIXED,DAY,C4,REGULAR
NJENGA KARUME SEC,NAKURU,MIXED,DAY,C4,REGULAR
GILGIL TOWN SEC,NAKURU,MIXED,DAY,C4,REGULAR
BISHOP C. KORIR SEGUTIET GIRLS SEC SCHOOL,BOMET,GIRLS,DAY,C4,REGULAR
MATUNGULU BOYS,MACHAKOS,BOYS,BOARDING,C3,REGULAR
TINDERETI SEC,NYAMIRA,MIXED,DAY,C4,REGULAR
SR. MARY STEPHEN NKOITOI MIXED SECONDARY SCHOOL,NAROK,MIXED,HYBRID,PR,REGULAR
WAGALLA MEMORIAL ACADEMY,WAJIR,MIXED,BOARDING,C3,REGULAR
RANJIRA MIXED,KISUMU,MIXED,DAY,C4,REGULAR
KAMAYAGI SEC,KITUI,MIXED,DAY,C4,REGULAR
NYAHURURU BOYS SEC,NYANDARUA,BOYS,BOARDING,C1,REGULAR
KILOME SA,MAKUENI,MIXED,DAY,C4,REGULAR
ENTANDA SEC,KISII,MIXED,DAY,C4,REGULAR
GELEGELE GIRLS SEC SCH,BOMET,GIRLS,BOARDING,C3,REGULAR
ST MARYGORET GIRLS SEC SCH KALENDA,KAKAMEGA,GIRLS,DAY,C4,REGULAR
