S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/ SNE/INTEGRATED,DISABILITY TYPE,ACCOMODATION TYPE,GENDER
1527,NYANZA,HOMA BAY,NDHIWA,T3LV,41724003,RAPEDHI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1528,NYANZA,HOMA BAY,NDHIWA,F2UJ,41724202,RARAGE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1529,NYANZA,HOMA BAY,NDHIWA,X5SB,41724014,RATANGA GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1530,NYANZA,HOMA BAY,NDHIWA,L9QZ,41724002,RATANG'A SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1531,NYANZA,HOMA BAY,NDHIWA,56P3,41724115,SIGAMA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1532,NYANZA,HOMA BAY,NDHIWA,K48S,41724214,ST. FELIX NYARATH MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1533,NYANZA,HOMA BAY,NDHIWA,DL5F,41724001,ST. GABRIEL'S MIRANGA MIXED,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1534,NYANZA,HOMA BAY,NDHIWA,7NP2,41724011,ST. LUCY ODHIAMBO RAMBO GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1535,NYANZA,HOMA BAY,NDHIWA,RAMR,41724006,ST. MARY'S NYAMOGO GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1536,NYANZA,HOMA BAY,NDHIWA,YEBV,41724007,ST. NICANSIUS MARANYONA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1537,NYANZA,HOMA BAY,NDHIWA,C6RG,41724111,ST. PETER'S RAMBUSI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1538,NYANZA,HOMA BAY,NDHIWA,PCDA,41724004,ST.MARY'S WACHARA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1539,NYANZA,HOMA BAY,NDHIWA,D4PY,41724206,ST.PHILIPS WAYAGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1540,NYANZA,HOMA BAY,NDHIWA,R5AQ,41724012,WAYARA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1541,NYANZA,HOMA BAY,RACHUONYO EAST,B4F6,41743112,ADEGA MIXED HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1542,NYANZA,HOMA BAY,RACHUONYO EAST,MFAV,41743201,ANGINO MIXED SECODARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1543,NYANZA,HOMA BAY,RACHUONYO EAST,WVZM,41743202,APONDO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1544,NYANZA,HOMA BAY,RACHUONYO EAST,Y66M,41743105,ATELA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1545,NYANZA,HOMA BAY,RACHUONYO EAST,JZLB,41743208,ATEMO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1546,NYANZA,HOMA BAY,RACHUONYO EAST,FYVT,41743103,BISHOP LINUS OKOK GIRLS' SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1547,NYANZA,HOMA BAY,RACHUONYO EAST,EUY9,41743121,DANISH OBARA MIXED DAY AND GIRLS BOARDING,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1548,NYANZA,HOMA BAY,RACHUONYO EAST,DGBJ,41743203,DUDI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1549,NYANZA,HOMA BAY,RACHUONYO EAST,DPGF,41743218,GANGRE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1550,NYANZA,HOMA BAY,RACHUONYO EAST,A6VZ,41743211,GOD BER SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1551,NYANZA,HOMA BAY,RACHUONYO EAST,A8UN,41743102,GOT RATENG' MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1552,NYANZA,HOMA BAY,RACHUONYO EAST,LGJ3,41743213,HARAMBEE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1553,NYANZA,HOMA BAY,RACHUONYO EAST,XRYJ,41743124,KADIE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1554,NYANZA,HOMA BAY,RACHUONYO EAST,ML93,41743207,KAKELO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1555,NYANZA,HOMA BAY,RACHUONYO EAST,LNFA,41743120,KANDEGWA LUTHERAN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1556,NYANZA,HOMA BAY,RACHUONYO EAST,MWZW,41743118,KILUSI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1557,NYANZA,HOMA BAY,RACHUONYO EAST,HVHF,41743210,KOJWACH HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1558,NYANZA,HOMA BAY,RACHUONYO EAST,YAXA,41743215,KOKWANYO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1559,NYANZA,HOMA BAY,RACHUONYO EAST,DEJC,41743113,KOLWENY KINGSWAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1560,NYANZA,HOMA BAY,RACHUONYO EAST,WTC8,41743104,KOTIENDITI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1561,NYANZA,HOMA BAY,RACHUONYO EAST,B477,41743107,KOWIDI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1562,NYANZA,HOMA BAY,RACHUONYO EAST,P44Z,41743115,LWANDA LUTHERAN MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1563,NYANZA,HOMA BAY,RACHUONYO EAST,CJLD,41743114,NYAMWAGA E.L.C.K MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1564,NYANZA,HOMA BAY,RACHUONYO EAST,3C2T,41743111,NYASORE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1565,NYANZA,HOMA BAY,RACHUONYO EAST,ALAX,41743204,OBER SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1566,NYANZA,HOMA BAY,RACHUONYO EAST,BDZT,41743206,OGILO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1567,NYANZA,HOMA BAY,RACHUONYO EAST,UFDF,41743125,ONGORO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1568,NYANZA,HOMA BAY,RACHUONYO EAST,345E,41743110,ORERA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1569,NYANZA,HOMA BAY,RACHUONYO EAST,TD6H,41743222,ORINDE LUTHERAN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1570,NYANZA,HOMA BAY,RACHUONYO EAST,PTJR,41743221,OTEL MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1571,NYANZA,HOMA BAY,RACHUONYO EAST,RKUP,41743109,OTHORO MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1572,NYANZA,HOMA BAY,RACHUONYO EAST,PN78,41743123,OTONDO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1573,NYANZA,HOMA BAY,RACHUONYO EAST,RMFQ,41743205,OUR LADY OF MERCY RINGA BOYS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1574,NYANZA,HOMA BAY,RACHUONYO EAST,QPLG,41743106,OWIRO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1575,NYANZA,HOMA BAY,RACHUONYO EAST,8M4F,41743117,PALA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1576,NYANZA,HOMA BAY,RACHUONYO EAST,8BEL,41743116,PONGE LUTHERAN MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1577,NYANZA,HOMA BAY,RACHUONYO EAST,AWMN,41743209,RINGA GIRLS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1578,NYANZA,HOMA BAY,RACHUONYO EAST,GSAW,41743122,SIANY LUTHERAN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1579,NYANZA,HOMA BAY,RACHUONYO EAST,JB87,41743220,ST LINUS UMAI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1580,NYANZA,HOMA BAY,RACHUONYO EAST,FP5M,41743216,ST. DISLAUS NYAWANGO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1581,NYANZA,HOMA BAY,RACHUONYO EAST,6FTD,41743212,ST. MARY'S ANDING'O,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1582,NYANZA,HOMA BAY,RACHUONYO EAST,AQBE,41743119,ST. PAUL ORIANG MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1583,NYANZA,HOMA BAY,RACHUONYO EAST,FXGU,41743219,ST. PETERS' GOD AGAK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1584,NYANZA,HOMA BAY,RACHUONYO EAST,DCVV,41743217,ST. PHILIPS NYABONDO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1585,NYANZA,HOMA BAY,RACHUONYO EAST,8URX,41743108,ST.TERESA'S OPANGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1586,NYANZA,HOMA BAY,RACHUONYO EAST,ZL8K,41743214,"ST.THOMAS SCHOOL,OMIRO",C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1587,NYANZA,HOMA BAY,RACHUONYO EAST,3Z8U,41743101,WANG'APALA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1588,NYANZA,HOMA BAY,RACHUONYO NORT,SY6U,41731206,ADIEDO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1589,NYANZA,HOMA BAY,RACHUONYO NORT,QKME,41731004,AKWAKRA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1590,NYANZA,HOMA BAY,RACHUONYO NORT,YSLW,41731312,ALARU CENTRAL MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1591,NYANZA,HOMA BAY,RACHUONYO NORT,7AE6,41731111,BWARE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1592,NYANZA,HOMA BAY,RACHUONYO NORT,TX3R,41731410,DR. ADHU AWITI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1593,NYANZA,HOMA BAY,RACHUONYO NORT,V9DR,41731101,GENDIA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1594,NYANZA,HOMA BAY,RACHUONYO NORT,98HA,41731108,GEORGE AGOLA OWUOR MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1595,NYANZA,HOMA BAY,RACHUONYO NORT,2LTZ,41731401,GOGO MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1596,NYANZA,HOMA BAY,RACHUONYO NORT,A6AF,41731001,KAJIEI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1597,NYANZA,HOMA BAY,RACHUONYO NORT,TBWZ,41731205,KAMOLO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1598,NYANZA,HOMA BAY,RACHUONYO NORT,3LZZ,41731010,KAMSER SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1599,NYANZA,HOMA BAY,RACHUONYO NORT,WFDN,41731011,KAMWALA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1600,NYANZA,HOMA BAY,RACHUONYO NORT,323L,41731308,KANAM MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1601,NYANZA,HOMA BAY,RACHUONYO NORT,RBLW,41731305,KANDIEGE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1602,NYANZA,HOMA BAY,RACHUONYO NORT,7TU7,41731402,KANYAMFWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1603,NYANZA,HOMA BAY,RACHUONYO NORT,FDM7,41731009,KARABONDI BIDII MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1604,NYANZA,HOMA BAY,RACHUONYO NORT,67LL,41731007,KARABONDI GIRL'S SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1605,NYANZA,HOMA BAY,RACHUONYO NORT,B7LN,41731102,KENDU MUSLIM SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1606,NYANZA,HOMA BAY,RACHUONYO NORT,PJFM,41731112,KIDESWA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1607,NYANZA,HOMA BAY,RACHUONYO NORT,JZ95,41731003,KOBALA MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1608,NYANZA,HOMA BAY,RACHUONYO NORT,9DVU,41731202,KOBILA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1609,NYANZA,HOMA BAY,RACHUONYO NORT,VU8Z,41731309,KODHOCH MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1610,NYANZA,HOMA BAY,RACHUONYO NORT,K9AY,41731411,KOREDO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1611,NYANZA,HOMA BAY,RACHUONYO NORT,KE92,41731311,KOTONJE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1612,NYANZA,HOMA BAY,RACHUONYO NORT,GRLP,41731204,KOWUOR MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1613,NYANZA,HOMA BAY,RACHUONYO NORT,8UHE,41731107,LIETA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1614,NYANZA,HOMA BAY,RACHUONYO NORT,VTDV,41731407,MASOGO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1615,NYANZA,HOMA BAY,RACHUONYO NORT,4T7J,41731002,MAWEGO SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1616,NYANZA,HOMA BAY,RACHUONYO NORT,FER6,41731012,MIYUGA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1617,NYANZA,HOMA BAY,RACHUONYO NORT,FBNT,41731106,NGETA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1618,NYANZA,HOMA BAY,RACHUONYO NORT,Y2CL,41731109,NYAKECHI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1619,NYANZA,HOMA BAY,RACHUONYO NORT,WM2W,41731404,OGENYA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1620,NYANZA,HOMA BAY,RACHUONYO NORT,2AAK,41731408,OJIJO OTEKO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1621,NYANZA,HOMA BAY,RACHUONYO NORT,VRAV,41731201,OMBOGA HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1622,NYANZA,HOMA BAY,RACHUONYO NORT,H36Y,41731313,OMINDE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1623,NYANZA,HOMA BAY,RACHUONYO NORT,BEEF,41731208,ONGANG MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1624,NYANZA,HOMA BAY,RACHUONYO NORT,LWC7,41731303,ORIWO BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1625,NYANZA,HOMA BAY,RACHUONYO NORT,EE4N,41731013,OSODO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1626,NYANZA,HOMA BAY,RACHUONYO NORT,H6J9,41731105,OTOK MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1627,NYANZA,HOMA BAY,RACHUONYO NORT,V4KZ,41731209,OYOMBE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1628,NYANZA,HOMA BAY,RACHUONYO NORT,28CF,41731104,PAUL MBOYA HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1629,NYANZA,HOMA BAY,RACHUONYO NORT,RG4G,41731306,SAMANGA LUTHERAN MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1630,NYANZA,HOMA BAY,RACHUONYO NORT,F2JC,41731307,SIBURI MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1631,NYANZA,HOMA BAY,RACHUONYO NORT,XPJC,41731110,SIMBI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1632,NYANZA,HOMA BAY,RACHUONYO NORT,7XU9,41731301,ST ALFRED ALARA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1633,NYANZA,HOMA BAY,RACHUONYO NORT,SGWV,41731302,ST INNOCENT JONYO MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1634,NYANZA,HOMA BAY,RACHUONYO NORT,8L59,41731008,ST JOHN SEKA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1635,NYANZA,HOMA BAY,RACHUONYO NORT,3HFS,41731403,ST. BENARD'S OTARO HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1636,NYANZA,HOMA BAY,RACHUONYO NORT,6MNX,41731103,ST. FRANCIS NYANGANJO GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1637,NYANZA,HOMA BAY,RACHUONYO NORT,4JWD,41731314,ST. JOHN GOD NDONYO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1638,NYANZA,HOMA BAY,RACHUONYO NORT,3A5T,41731005,ST. MARTIN'S OLUTI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1639,NYANZA,HOMA BAY,RACHUONYO NORT,PZAM,41731207,ST. MARY'S NYAKANGO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1640,NYANZA,HOMA BAY,RACHUONYO NORT,HSR2,41731006,ST.JOSEPH KOBUYA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1641,NYANZA,HOMA BAY,RACHUONYO NORT,Z8BT,41731405,ST.JOSEPH'S MIRANGA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1642,NYANZA,HOMA BAY,RACHUONYO NORT,BQB2,41731406,WAGWE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1643,NYANZA,HOMA BAY,RACHUONYO NORT,GQYX,41731203,WIKONDIEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1644,NYANZA,HOMA BAY,RACHUONYO SOUT,QERE,41710301,AGORO SARE HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1645,NYANZA,HOMA BAY,RACHUONYO SOUT,YVH9,41710340,AGORO SARE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1646,NYANZA,HOMA BAY,RACHUONYO SOUT,TSTQ,41710343,AOLO GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1647,NYANZA,HOMA BAY,RACHUONYO SOUT,DR7Q,41710310,BUOYE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1648,NYANZA,HOMA BAY,RACHUONYO SOUT,PGKL,41710330,DOL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1649,NYANZA,HOMA BAY,RACHUONYO SOUT,4T7K,41710337,GOD AGULU MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1650,NYANZA,HOMA BAY,RACHUONYO SOUT,L5C3,41710336,KACHIENG' SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1651,NYANZA,HOMA BAY,RACHUONYO SOUT,NHBB,41710349,KADITONG'E MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1652,NYANZA,HOMA BAY,RACHUONYO SOUT,P4XR,41710345,KALANDING MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1653,NYANZA,HOMA BAY,RACHUONYO SOUT,HFQK,41710323,KALANDO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1654,NYANZA,HOMA BAY,RACHUONYO SOUT,ZYZH,41710307,KARABOK SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1655,NYANZA,HOMA BAY,RACHUONYO SOUT,UPXP,41710347,KOSELE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1656,NYANZA,HOMA BAY,RACHUONYO SOUT,SYSH,41710302,KWOYO OYUGIS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1657,NYANZA,HOMA BAY,RACHUONYO SOUT,SHWR,41710327,MITHUI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1658,NYANZA,HOMA BAY,RACHUONYO SOUT,MC5F,41710303,MITITI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1659,NYANZA,HOMA BAY,RACHUONYO SOUT,6ND4,41710346,NYABOLA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1660,NYANZA,HOMA BAY,RACHUONYO SOUT,XEQW,41710342,NYAFARE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1661,NYANZA,HOMA BAY,RACHUONYO SOUT,QRD8,41710322,NYAGOWA LUTHERAN MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1662,NYANZA,HOMA BAY,RACHUONYO SOUT,PKXU,41710326,NYAHERA GIRLS' SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1663,NYANZA,HOMA BAY,RACHUONYO SOUT,NT8K,41710318,NYAKIYA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1664,NYANZA,HOMA BAY,RACHUONYO SOUT,RT6Z,41710312,NYALENDA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1665,NYANZA,HOMA BAY,RACHUONYO SOUT,SYMP,41710344,NYAMBARE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1666,NYANZA,HOMA BAY,RACHUONYO SOUT,S84L,41710325,NYANDIWA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1667,NYANZA,HOMA BAY,RACHUONYO SOUT,QX3N,41710308,NYANG'IELA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1668,NYANZA,HOMA BAY,RACHUONYO SOUT,R4AE,41710311,NYATINDO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1669,NYANZA,HOMA BAY,RACHUONYO SOUT,QVCZ,41710339,OBISA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1670,NYANZA,HOMA BAY,RACHUONYO SOUT,75N7,41710331,OMBEK LUTHERAN MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1671,NYANZA,HOMA BAY,RACHUONYO SOUT,CYRT,41710305,SAYE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1672,NYANZA,HOMA BAY,RACHUONYO SOUT,DM9R,41710328,SINO SDA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1673,NYANZA,HOMA BAY,RACHUONYO SOUT,EFHD,41710317,ST JOSEPH'S SINO MIXED SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1674,NYANZA,HOMA BAY,RACHUONYO SOUT,Y7DP,41710313,ST. PETERS' KOTIENO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1675,NYANZA,HOMA BAY,RACHUONYO SOUT,8MTY,41710338,ST. TERESA'S NYALGOSI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1676,NYANZA,HOMA BAY,RACHUONYO SOUT,KC9E,41710332,ST.ANNE`S SECONDARY SCHOOL - OJWANDO,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1677,NYANZA,HOMA BAY,RACHUONYO SOUT,F952,41710309,WIRE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1678,NYANZA,HOMA BAY,RACHUONYO SOUT,PENR,41710335,YALA KOTIENO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1679,NYANZA,HOMA BAY,RANGWE,RK5E,41742106,ACHEGO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1680,NYANZA,HOMA BAY,RANGWE,WMWC,41700004,ASUMBI GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1681,NYANZA,HOMA BAY,RANGWE,JQJZ,41742123,BONDO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
