"COMPUTER STUDIES,GEOGRAPHY,ISLAMIC RELIGIOUS EDUCATION. CODE: SS2033 | TRACK: HUMANITIES & BUSINESS STUDIES",,,,,
KIMOLWET BOYS HIGH,BOMET,BOYS,BOARDING,C3,REGULAR
KATHELWA SECECONDARY SCHOOL,MERU,MIXED,DAY,C4,REGULAR
MWASERE GIRLS,TAITA TAVETA,GIRLS,BOARDING,C2,REGULAR
ST. VERONICA MASUNO SEC,BUNGOMA,MIXED,DAY,C4,REGULAR
HARGAL GIRLS SEC SCHOOL,WAJIR,GIRLS,DAY,C4,REGULAR
KIBUYUNI SECONDARY SCHOOL[KWALE],KWALE,MIXED,DAY,C4,REGULAR
MWAHIMA SECONDARY SCHOOL,MOMBASA,MIXED,DAY,C4,REGULAR
NABEEL INTEGRATED BOYS HIGH SCHOOL,MACHAKOS,BOYS,BOARDING,PR,REGULAR
KALULINI HIGH SCH,MAKUENI,BOYS,BOARDING,C2,INTERGRATED
MTAA SEC,KWALE,MIXED,DAY,C4,REGULAR
ST GEORGES,KILIFI,BOYS,BOARDING,C2,REGULAR
KAPTEBENGWET,BOMET,BOYS,BOARDING,C3,REGULAR
BOTHAI SECONDARY SCHOOL,GARISSA,MIXED,DAY,C4,REGULAR
SOSIANI SECONDARY SCHOOL,UASIN GISHU,MIXED,DAY,C4,REGULAR
GATHER MIXED DAY BOARDING SECONDARY SCHOOL,MANDERA,MIXED,DAY,C4,REGULAR
KIREWE SEC,KWALE,MIXED,DAY,C4,REGULAR
ST CATHERINES GIRLS SEC,WEST POKOT,GIRLS,BOARDING,C3,REGULAR
TAKABA GIRLS,MANDERA,GIRLS,BOARDING,C2,REGULAR
MWANAMBEYU GIRLS' HIGH,KWALE,GIRLS,BOARDING,C3,REGULAR
BOGWENDO SEC,NYAMIRA,MIXED,DAY,C4,REGULAR
MKWAKWANI  SEC SCH,KWALE,MIXED,DAY,C4,REGULAR
KENYATTA HIGH,TAITA TAVETA,BOYS,BOARDING,C1,REGULAR
SNR CHIEF OGLE GIRLS,WAJIR,GIRLS,BOARDING,C3,REGULAR
OLM SHAURI MOYO,NAIROBI,GIRLS,BOARDING,C2,REGULAR
Kisima 78 Mixed,ISIOLO,MIXED,DAY,C4,REGULAR
DADAAB SEC,GARISSA,MIXED,BOARDING,C3,REGULAR
SIRINDE MIXED,SIAYA,MIXED,DAY,C4,REGULAR
HONO MIXED,SIAYA,MIXED,DAY,C4,REGULAR
MUFUTU,TRANS NZOIA,MIXED,DAY,C4,REGULAR
MPIRANI SECONDARY SCHOOL,KWALE,MIXED,DAY,C4,REGULAR
